Dátum,Cím,Alapérték lakás,Alapérték iroda,Engedményes,Engedményes iroda,Parkolóhely telken belül,Megváltás,Megszavazva,Többlet lakás,Bevétel összesen,764 990 000 Ft
2025. február,Szilágysomlyó utca 29/a,2,0,4,0,4,9 000 000 Ft,nem,,,
,Róna u. 129.,56,9,64,1,65,32 000 000 Ft,igen,8,32 000 000 Ft,
,Telepes utca 24.,13,2,15,0,15,8 000 000 Ft,igen,2,8 000 000 Ft,
,Gizella út 24-26,137,0,154,0,154,68 000 000 Ft,nem,,,
2025. április,Lipótvár utca 54/a,2,0,5,0,5,13 500 000 Ft,igen,3,13 500 000 Ft,
,Vízakna utca 4.,4,0,6,2,8,11 000 000 Ft,igen,2,11 000 000 Ft,
,Bonyhádi út 77. = Fischer István utca 91-93.,12,0,16,0,22,24 000 000 Ft,igen,4,24 000 000 Ft,
,Nagy Lajos király útja 111.,10,0,35,0,35,112 700 000 Ft,igen,25,112 700 000 Ft,
,Fűrész utca 36-38.,12,0,14,0,16,8 000 000 Ft,igen,2,8 000 000 Ft,
2025. május,Gyetva utca 7.,3,0,5,0,5,11 000 000 Ft,igen,2,11 000 000 Ft,
,Fűrész utca 17.,13,1,14,0,14,3 500 000 Ft,igen,1,3 500 000 Ft,
,Thököly út 169.,38,0,54,0,54,64 000 000 Ft,igen,16,64 000 000 Ft,
2025. június,Remény utca 37/a. ,1,0,2,0,4,5 000 000 Ft,igen,1,5 000 000 Ft,
,Tihamér utca 6.,4,0,5,0,6,5 000 000 Ft,igen,1,5 000 000 Ft,
,Gyarmat utca 54.,19,0,22,0,22,12 000 000 Ft,igen,3,12 000 000 Ft,
2025. szeptember,Pancsova utca 10.,3,0,5,0,5,9 000 000 Ft,igen,2,9 000 000 Ft,
,Lipótvár utca 24. ,4,0,6,0,6,10 500 000 Ft,igen,2,10 500 000 Ft,
2025. október,Gizella út 24-26. ,137,0,154,0,155,68 000 000 Ft,igen,17,68 000 000 Ft,
2025. november,Bonyhádi út 32. ,6,4,9,1,10,16 500 000 Ft,igen,3,16 500 000 Ft,
,Fűrész utca 108/a.,6,0,12,0,12,40 000 000 Ft,igen,6,40 000 000 Ft,
,Fűrész utca 108/b.,6,0,10,0,10,24 000 000 Ft,nem,,,
,Répásy Mihály utca 13.,6,1,7,0,7,3 500 000 Ft,igen,1,3 500 000 Ft,
2025. december,Szugló utca 147.,4,5,9,0,10,26 000 000 Ft,igen,5,26 000 000 Ft,
2026. március,Fischer István utca 105.,3,1,4,0,5,5 000 000 Ft,igen,1,5 000 000 Ft,
,Francia út 10. = Zászlós utca 7.,29,0,69,0,69,219 160 000 Ft,igen,40,219 160 000 Ft,
2026. május,Bácskai u. 29/b.,5,5,10,0,0,30 800 000 Ft,igen,5,30 800 000 Ft,
,Paskál utca 45/b.=Öv utca 74.,2,0,4,0,4,10 500 000 Ft,igen,2,10 500 000 Ft,
,Szugló utca 136.,5,0,9,0,10,16 330 000 Ft,igen,4,16 330 000 Ft,
,Nagy Lajos király útja 40.,7,0,8,0,8,7 500 000 Ft,nem,,,
